roi_id,f_mean,f_std,f_max,f_min,fneu_mean,fneu_max,alpha,f_range,f_snr,fneu_f_ratio,high_alpha,low_snr,fneu_exceeds_f,extreme_range,fc_mean,fc_min,fc_negative_pct,fc_negative,high_fc_negative,dff_max,dff_min,dff_std,dff_explosion,dff_implosion,high_dff_noise,exclude,caution,good_quality
678,254.59467,73.048325,879.75494,49.834282,133.33871,270.04413,0.7,829.92065,3.485291,0.5237294,True,False,False,True,161.25755,-42.02498,0.14443185123519323,True,False,9.055322,-1.550386,0.6915793,False,False,False,False,True,-2
679,1141.8145,418.48447,3530.0151,178.80917,200.9873,676.0825,0.7,3351.206,2.7284513,0.17602448,True,False,False,False,1001.1234,-0.0075683594,0.0010029989669110642,True,False,3.992514,-1.0000132,0.4304868,False,False,False,False,True,-2
680,216.29385,66.95101,784.8326,28.860598,252.9114,728.78503,0.7,755.972,3.2306287,1.1692954,True,False,True,True,39.25587,-158.92319,27.86531729872318,True,True,66.31574,-60.374332,11.491112,True,True,True,True,True,-2
681,795.9897,468.24655,2497.4695,34.07857,387.7245,809.97253,0.7,2463.3909,1.6999371,0.48709738,True,True,False,True,524.5825,-131.6804,1.7642751827965617,True,False,16.659134,-4.60448,1.4998695,True,False,False,True,True,-2
682,1516.6678,265.62537,3047.1367,284.82938,744.9567,1408.3734,0.7,2762.3074,5.7098007,0.49117988,True,False,False,False,995.19806,103.88391,0.0,False,False,2.2264192,-0.8483262,0.26688364,False,False,False,False,True,-2
683,362.14362,134.23888,996.5547,73.75353,131.75504,314.45108,0.7,922.80115,2.697755,0.36381984,True,False,False,False,269.9151,-2.4640198,0.004011995867644257,True,False,2.9794877,-1.0250751,0.3648145,False,False,False,False,True,-2
684,179.73416,73.248726,1073.4058,16.13221,128.50888,560.5318,0.7,1057.2736,2.4537513,0.7149942,True,False,False,True,89.777954,-90.0833,5.744175083499664,True,False,58.59901,-29.943913,6.2660074,True,True,True,True,True,-2
685,134.8983,45.99449,509.06366,6.268357,288.88345,778.5321,0.46414462,502.7953,2.9329228,2.1414907,False,False,True,True,0.8146149,-136.10255,52.47189095395232,True,True,4.0844164,-13.730696,1.1798292,False,True,False,True,False,-2
686,128.09505,71.26736,570.0638,0.0,83.511375,193.6878,0.7,570.0638,1.7973874,0.6519485,True,True,False,True,69.63708,-66.66522,10.504408180459574,True,False,62.9181,-43.150715,9.540063,True,True,True,True,True,-2
687,291.08298,40.003857,742.4605,144.83469,130.44936,398.2963,0.55209136,597.62585,7.276373,0.4481518,False,False,False,False,219.06302,71.44743,0.0,False,False,1.8549216,-0.56907415,0.19147743,False,False,False,False,False,-2
688,252.96454,107.357315,799.04034,31.058207,157.11452,387.02127,0.7,767.9821,2.356286,0.62109303,True,False,False,True,142.98439,-60.999237,1.0070109627787083,True,False,12.142113,-3.033756,1.0431886,True,False,False,True,True,-2
689,1075.2439,266.71942,2765.4905,441.8954,464.73737,1446.0161,0.7,2323.5952,4.0313673,0.43221578,True,False,False,False,749.9277,86.80795,0.0,False,False,2.6313887,-0.8027381,0.29454395,False,False,False,False,True,-2
690,652.81433,139.36649,2226.1692,243.9698,656.47314,1866.7075,0.3,1982.1993,4.684156,1.0056046,False,False,True,True,455.87228,48.52649,0.0,False,False,2.9761853,-0.8397177,0.35287523,False,False,False,False,False,-2
691,576.2155,166.99352,1525.3242,191.78665,428.31787,1154.9904,0.7,1333.5376,3.4505262,0.7433293,True,False,False,False,276.39304,-104.69922,0.36910361982327156,True,False,7.0384426,-2.2595932,0.76804453,False,False,False,False,True,-2
692,388.32574,81.65462,2083.8254,94.240814,89.10982,319.42212,0.3,1989.5846,4.7557106,0.22947183,False,False,False,True,361.5928,76.7971,0.0,False,False,4.2157254,-0.759036,0.22503306,False,False,False,False,False,-2
693,505.26016,351.1078,1920.4595,16.465027,292.44016,762.57916,0.7,1903.9944,1.4390458,0.57879126,True,True,False,True,300.55206,-103.19402,4.087220790162585,True,False,30.550922,-15.657537,4.67582,True,True,True,True,True,-2
694,935.86835,215.10544,3070.7593,238.56003,365.78207,1656.9646,0.7,2832.1992,4.3507423,0.3908478,True,False,False,True,679.8209,-9.393097,0.0010029989669110642,True,False,3.8622715,-1.023313,0.37720624,False,False,False,False,True,-2
695,278.31522,56.82219,731.23267,111.047,306.78458,599.8403,0.7,620.18567,4.898002,1.1022918,True,False,True,False,63.56597,-103.92828,8.356987392302987,True,False,71.873505,-40.85129,11.643694,True,True,True,True,True,-2
696,924.63367,381.95377,2214.1387,60.057415,435.55426,882.61804,0.7,2154.0813,2.4208,0.471056,True,False,False,False,619.74567,-77.435776,0.06619793181613022,True,False,7.0740557,-1.5544487,0.67359596,False,False,False,False,True,-2
697,504.5646,144.43417,1303.7637,155.10048,261.74655,538.663,0.7,1148.6632,3.493388,0.5187573,True,False,False,False,321.3421,-30.419266,0.01203598760293277,True,False,3.239149,-1.232347,0.4406237,False,False,False,False,True,-2
698,244.30922,135.06612,2428.9958,30.114414,195.33647,765.4617,0.3,2398.8813,1.808812,0.79954606,False,True,False,True,185.70828,-32.07061,0.25877373346305454,True,False,9.65402,-1.6604599,1.0383333,False,False,False,False,True,-2
699,641.01483,289.85577,1894.5737,42.90616,380.04773,839.142,0.7,1851.6676,2.2114959,0.5928845,True,False,False,False,374.98145,-123.555244,1.0561579121573506,True,False,12.356994,-3.3088484,1.1757244,True,False,False,True,True,-2
700,330.3779,109.788414,965.9543,30.570219,157.76439,415.13422,0.7,935.3841,3.0092237,0.47752705,True,False,False,False,219.94286,-64.57333,0.1644918305734145,True,False,6.1811056,-1.7161586,0.71665657,False,False,False,False,True,-2
701,400.36578,158.14288,1533.968,26.556559,181.77997,770.7263,0.7,1507.4115,2.5316713,0.45403472,True,False,False,True,273.11978,-94.42886,0.6960812830362785,True,False,12.430755,-2.3023999,1.3138174,True,False,False,True,True,-2
702,301.0272,86.81218,706.9736,69.4311,200.5878,675.70374,0.7,637.5425,3.4675686,0.66634446,True,False,False,False,160.61574,-83.91875,1.142415823311702,True,False,17.08846,-4.237385,1.3675874,True,False,False,True,True,-2
703,328.48386,77.743904,771.3057,114.713585,369.25458,788.8222,0.6376778,656.59216,4.225204,1.1241179,False,False,True,False,93.01842,-133.91675,7.445261331380829,True,False,59.95196,-37.525272,9.961796,True,True,True,True,True,-2
704,894.4233,194.55853,1908.5863,294.20706,729.957,1417.9086,0.7,1614.3793,4.5971937,0.81612027,True,False,True,False,383.4534,-207.06549,1.1343918315764134,True,False,12.591431,-4.3558497,1.2615554,True,False,False,True,True,-2
705,526.85095,191.46645,2532.9614,90.32884,761.5107,2087.9722,0.7,2442.6326,2.751662,1.4454006,True,False,True,True,-6.206545,-469.44025,58.99940823060952,True,True,16.88501,-18.431416,3.3290846,True,True,True,True,True,-2
706,267.00497,156.36177,1430.4469,11.995653,172.85588,368.9819,0.7,1418.4513,1.7076104,0.6473882,True,True,False,True,146.00586,-86.27366,6.901635891315032,True,False,26.472713,-33.555397,7.730956,True,True,True,True,True,-2
707,159.31853,56.74382,798.55096,5.284892,198.41711,828.6887,0.7,793.26605,2.8076806,1.2454114,True,False,True,True,20.426554,-137.38689,38.56731627566424,True,True,4.5133314,-16.521162,1.7886037,False,True,False,True,True,-2
708,268.17767,86.16878,689.5356,46.411366,212.30785,450.8498,0.3,643.1242,3.1122372,0.7916686,False,False,False,False,204.4853,-15.261322,0.014041985536754897,True,False,4.2381797,-1.1759466,0.46561915,False,False,False,False,False,-2
709,182.53018,61.23251,677.84564,18.52849,90.89304,352.06366,0.3,659.31714,2.9809358,0.49796173,False,False,False,True,155.26227,-11.921202,0.006017993801466385,True,False,6.296733,-1.1179627,0.62175596,False,False,False,False,False,-2
710,389.14105,80.3686,933.6584,170.08089,678.03503,1443.8004,0.5798425,763.5775,4.8419538,1.7423888,False,False,True,False,-4.0124593,-222.95097,56.70354359535009,True,True,8.147639,-14.135451,1.5306752,False,True,False,True,False,-2
711,1155.9886,834.0236,3498.5374,102.84296,537.92773,1114.9833,0.7,3395.6943,1.3860383,0.46534,True,True,False,False,779.4393,-88.23503,0.30892368180860774,True,False,6.2816496,-2.1526852,0.7280318,False,False,False,False,True,-2
712,993.7148,251.321,2590.998,390.65863,663.6085,1486.7053,0.7,2200.3394,3.9539664,0.66780585,True,False,False,False,529.18884,-53.580994,0.018053981404399153,True,False,3.76523,-1.2994958,0.52828455,False,False,False,False,True,-2
713,223.72842,75.13934,921.7634,29.743809,278.3825,1249.009,0.7,892.0196,2.9775138,1.2442876,True,False,True,True,28.860657,-168.88277,33.552321441108916,True,True,20.74282,-35.084946,4.554339,True,True,True,True,True,-2
714,549.8577,223.16647,1621.2261,42.356937,292.4677,579.75555,0.7,1578.8691,2.4638903,0.53189707,True,False,False,False,345.13025,-176.01923,0.7382072396465431,True,False,14.219412,-3.7670124,1.17389,True,False,False,True,True,-2
715,287.53555,121.40978,971.99115,58.432255,321.98633,1153.4354,0.7,913.5589,2.3683064,1.1198139,True,False,True,True,62.145123,-184.6147,34.92041203197561,True,True,34.777676,-21.403414,3.6819155,True,True,True,True,True,-2
716,531.6827,248.71107,1929.9902,102.54854,177.85382,372.9,0.7,1827.4417,2.1377523,0.33451122,True,False,False,True,407.185,15.90123,0.0,False,False,4.880788,-0.9094539,0.39671662,False,False,False,False,True,-2
